10,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
---,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Beni strumentali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Beni strumentali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Beni strumentali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,---,---
---,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese per manutenzione,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Spese per manutenzione,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese per manutenzione,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,---,---
Altri servizi e prestazioni,  -   ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.750 ,  1.750 ,  1.750 ,  1.750 ,  -   ,  -   ,  1.750 ,1%,,Altri servizi e prestazioni,  -   ,  1.250 ,  -   ,  -   ,  -   ,  -   ,  500 ,  -   ,  -   ,  -   ,- 1.750 ,  -   ,  -   ,,,,Altri servizi e prestazioni,  -   ,  -   ,  -   ,  5.000 ,  5.250 ,  5.500 ,  5.500 ,  5.500 ,  5.500 ,  5.700 ,  5.700 ,  -   ,  5.700 ,2%,,Altri servizi e prestazioni,  -   ,  -   ,  -   ,  5.000 ,  250 ,  250 ,  -   ,  -   ,  -   ,  200 ,  -   ,- 5.700 ,  200 ,1%,,Altri servizi e prestazioni,Altri servizi e prestazioni
COSTI INDIRETTI,  -   ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.750 ,  1.750 ,  1.750 ,  1.750 ,  -   ,  -   ,  1.750 ,1%,,COSTI INDIRETTI,  -   ,  1.250 ,  -   ,  -   ,  -   ,  -   ,  500 ,  -   ,  -   ,  -   ,- 1.750 ,  -   ,  -   ,0%,,,COSTI INDIRETTI,  -   ,  -   ,  -   ,  5.000 ,  5.250 ,  5.500 ,  5.500 ,  5.500 ,  5.500 ,  5.700 ,  5.700 ,  -   ,  5.700 ,2%,,COSTI INDIRETTI,  -   ,  -   ,  -   ,  5.000 ,  250 ,  250 ,  -   ,  -   ,  -   ,  200 ,  -   ,- 5.700 ,  200 ,1%,,,
TOTALE COSTI DIRETTI E INDIRETTI,  636 ,  6.611 ,  8.071 ,  9.957 ,  11.069 ,  12.245 ,  14.324 ,  16.845 ,  18.810 ,  21.764 ,  -   ,  -   ,  21.764 ,7%,,TOTALE COSTI DIRETTI E INDIRETTI,  636 ,  5.975 ,  1.461 ,  1.886 ,  1.112 ,  1.176 ,  2.080 ,  2.521 ,  1.964 ,  2.954 ,- 21.764 ,  -   ,  2.954 ,12%,,,TOTALE COSTI DIRETTI E INDIRETTI,  254 ,  261 ,  287 ,  5.294 ,  5.551 ,  6.440 ,  6.962 ,  7.210 ,  8.039 ,  9.656 ,  10.885 ,  -   ,  9.656 ,3%,,TOTALE COSTI DIRETTI E INDIRETTI,  254 ,  7 ,  26 ,  5.007 ,  257 ,  889 ,  522 ,  248 ,  829 ,  1.617 ,  1.229 ,- 10.885 ,  1.617 ,6%,,,
GROSS PROFIT,  55.964 ,  75.490 ,  109.269 ,  132.883 ,  150.372 ,  174.196 ,  215.705 ,  214.290 ,  275.416 ,  298.118 ,  -   ,  -   ,  298.118 ,93%,,GROSS PROFIT,  55.964 ,  19.525 ,  33.779 ,  23.614 ,  17.489 ,  23.824 ,  41.509 ,- 1.415 ,  61.126 ,  22.702 ,- 298.118 ,  -   ,  22.702 ,88%,,,GROSS PROFIT,- 253 ,- 260 ,- 287 ,- 5.067 ,- 3.548 ,  25.635 ,  25.112 ,  36.446 ,  35.617 ,  84.639 ,  114.123 ,  -   ,  84.639 ,26%,,GROSS PROFIT,- 253 ,- 7 ,- 26 ,- 4.781 ,  1.520 ,  29.183 ,- 522 ,  11.333 ,- 829 ,  49.022 ,  29.484 ,- 114.123 ,  49.022 ,191%,,,
Autofatture,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Autofatture,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Autofatture,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Autofatture,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Autofatture,Ricavi non tipici
Rimborsi spese,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimborsi spese,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Rimborsi spese,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimborsi spese,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimborsi spese,Ricavi non tipici
Altri proventi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Altri proventi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Altri proventi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Altri proventi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Altri proventi,Ricavi non tipici
ALTRI RICAVI NON TIPICI,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,ALTRI RICAVI NON TIPICI,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,,ALTRI RICAVI NON TIPICI,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,ALTRI RICAVI NON TIPICI,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,,
Spese viaggio,  372 ,  1.468 ,  1.908 ,  2.250 ,  2.795 ,  2.813 ,  2.987 ,  3.031 ,  3.216 ,  3.652 ,  -   ,  -   ,  3.652 ,1%,,Spese viaggio,  372 ,  1.095 ,  441 ,  341 ,  546 ,  18 ,  173 ,  45 ,  185 ,  436 ,- 3.652 ,  -   ,  436 ,,,,Spese viaggio,  297 ,  399 ,  874 ,  5.716 ,  6.513 ,  6.719 ,  6.968 ,  7.007 ,  7.101 ,  7.403 ,  7.288 ,  -   ,  7.403 ,2%,,Spese viaggio,  297 ,  102 ,  476 ,  4.842 ,  797 ,  206 ,  249 ,  39 ,  94 ,  302 ,- 115 ,- 7.288 ,  302 ,1%,,Spese viaggio,Costi commerciali
Pedaggi autostradali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Pedaggi autostradali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Pedaggi autostradali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  368 ,  906 ,  -   ,  368 ,0%,,Pedaggi autostradali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  368 ,  538 ,- 906 ,  368 ,1%,,Pedaggi autostradali,Costi commerciali
Pubblicità,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Pubblicità,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Pubblicità,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  243 ,  243 ,  -   ,  243 ,0%,,Pubblicità,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  243 ,  -   ,- 243 ,  243 ,1%,,Pubblicità,Costi commerciali
Materiale pubblicitario,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale pubblicitario,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Materiale pubblicitario,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale pubblicitario,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale pubblicitario,Costi commerciali
Omaggi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Omaggi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Omaggi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Omaggi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Omaggi,Costi commerciali
Spese di rappresentanza,  336 ,  1.113 ,  2.538 ,  2.982 ,  3.766 ,  4.081 ,  4.402 ,  4.562 ,  5.008 ,  6.060 ,  -   ,  -   ,  6.060 ,2%,,Spese di rappresentanza,  336 ,  777 ,  1.425 ,  444 ,  784 ,  314 ,  322 ,  160 ,  445 ,  1.052 ,- 6.060 ,  -   ,  1.052 ,,,,Spese di rappresentanza,  389 ,  438 ,  677 ,  2.590 ,  2.637 ,  2.799 ,  2.834 ,  2.834 ,  2.890 ,  3.650 ,  3.981 ,  -   ,  3.650 ,1%,,Spese di rappresentanza,  389 ,  49 ,  239 ,  1.913 ,  47 ,  163 ,  35 ,  -   ,  57 ,  759 ,  331 ,- 3.981 ,  759 ,3%,,Spese di rappresentanza,Costi commerciali
Mostre e fiere,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  8.102 ,  10.815 ,  -   ,  -   ,  10.815 ,3%,,Mostre e fiere,  5.890 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.212 ,  2.713 ,- 10.815 ,  -   ,  2.713 ,,,,Mostre e fiere,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.895 ,  1.895 ,  1.895 ,  1.895 ,  1.895 ,  -   ,  1.895 ,1%,,Mostre e fiere,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.895 ,  -   ,  -   ,  -   ,  -   ,- 1.895 ,  -   ,0%,,Mostre e fiere,Costi commerciali
Servizi commerciali,  58 ,  113 ,  168 ,  223 ,  278 ,  333 ,  388 ,  443 ,  498 ,  553 ,  -   ,  -   ,  553 ,0%,,Servizi commerciali,  58 ,  55 ,  55 ,  55 ,  55 ,  55 ,  55 ,  55 ,  55 ,  55 ,- 553 ,  -   ,  55 ,,,,Servizi commerciali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  379 ,  428 ,  483 ,  538 ,  593 ,  -   ,  538 ,0%,,Servizi commerciali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  379 ,  49 ,  55 ,  55 ,  55 ,- 593 ,  55 ,0%,,Servizi commerciali,Costi commerciali
Carburante,  120 ,  292 ,  662 ,  802 ,  1.028 ,  1.028 ,  1.303 ,  1.352 ,  1.352 ,  1.651 ,  -   ,  -   ,  1.651 ,1%,,Carburante,  120 ,  171 ,  371 ,  140 ,  226 ,  -   ,  275 ,  49 ,  -   ,  299 ,- 1.651 ,  -   ,  299 ,,,,Carburante,  -   ,  -   ,  -   ,  579 ,  961 ,  981 ,  998 ,  998 ,  998 ,  1.282 ,  1.300 ,  -   ,  1.282 ,0%,,Carburante,  -   ,  -   ,  -   ,  579 ,  382 ,  20 ,  18 ,  -   ,  -   ,  284 ,  18 ,- 1.300 ,  284 ,1%,,Carburante,Costi commerciali
SPESE COMMERCIALI,  6.777 ,  8.876 ,  11.167 ,  12.148 ,  13.758 ,  14.146 ,  14.971 ,  15.279 ,  18.177 ,  22.731 ,  -   ,  -   ,  22.731 ,7%,,SPESE COMMERCIALI,  6.777 ,  2.099 ,  2.292 ,  980 ,  1.611 ,  387 ,  825 ,  309 ,  2.897 ,  4.555 ,- 22.731 ,  -   ,  4.555 ,18%,,,SPESE COMMERCIALI,  686 ,  837 ,  1.551 ,  8.885 ,  10.111 ,  10.499 ,  13.074 ,  13.162 ,  13.367 ,  15.378 ,  16.205 ,  -   ,  15.378 ,5%,,SPESE COMMERCIALI,  686 ,  151 ,  714 ,  7.334 ,  1.225 ,  388 ,  2.575 ,  88 ,  206 ,  2.011 ,  827 ,- 16.205 ,  2.011 ,8%,,,
Beni indeducibili,  113 ,  877 ,  1.854 ,  2.123 ,  2.236 ,  2.236 ,  2.182 ,  2.182 ,  2.182 ,  2.222 ,  -   ,  -   ,  2.222 ,1%,,Beni indeducibili,  113 ,  763 ,  977 ,  269 ,  113 ,  -   ,- 54 ,  -   ,  -   ,  40 ,- 2.222 ,  -   ,  40 ,,,,Beni indeducibili,  -   ,  -   ,  -   ,  2.731 ,  2.755 ,  2.755 ,  2.891 ,  3.064 ,  3.064 ,  3.009 ,  3.506 ,  -   ,  3.009 ,1%,,Beni indeducibili,  -   ,  -   ,  -   ,  2.731 ,  24 ,  -   ,  136 ,  173 ,  -   ,- 54 ,  496 ,- 3.506 ,- 54 ,0%,,Beni indeducibili,Altre spese di funzionamento
Spese generali,  194 ,  20.406 ,  20.888 ,  21.862 ,  22.205 ,  22.311 ,  22.311 ,  23.150 ,  24.766 ,  25.276 ,  -   ,  -   ,  25.276 ,8%,,Spese generali,  194 ,  20.212 ,  482 ,  974 ,  343 ,  106 ,  -   ,  839 ,  1.616 ,  510 ,- 25.276 ,  -   ,  510 ,,,,Indumenti di lavoro,  1.908 ,  2.042 ,  2.277 ,  2.277 ,  2.366 ,  2.388 ,  2.622 ,  2.801 ,  4.058 ,  4.413 ,  5.519 ,  -   ,  4.413 ,1%,,Indumenti di lavoro,  1.908 ,  134 ,  235 ,  -   ,  89 ,  22 ,  234 ,  179 ,  1.257 ,  354 ,  1.107 ,- 5.519 ,  354 ,1%,,Spese generali,Altre spese di funzionamento
Materiale vario e di consumo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale vario e di consumo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Materiale vario e di consumo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale vario e di consumo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale vario e di consumo,Altre spese di funzionamento
Spese di pulizia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese di pulizia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Spese di pulizia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese di pulizia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese di pulizia,Altre spese di funzionamento
Utenze,  -   ,  146 ,  262 ,  344 ,  438 ,  545 ,  707 ,  826 ,  906 ,  998 ,  -   ,  -   ,  998 ,0%,,Utenze,  -   ,  146 ,  115 ,  83 ,  94 ,  107 ,  162 ,  119 ,  79 ,  93 ,- 998 ,  -   ,  93 ,,,,Utenze,  -   ,  128 ,  210 ,  382 ,  437 ,  392 ,  476 ,  600 ,  702 ,  806 ,  892 ,  -   ,  806 ,0%,,Utenze,  -   ,  128 ,  82 ,  172 ,  55 ,- 45 ,  84 ,  124 ,  101 ,  104 ,  86 ,- 892 ,  104 ,0%,,Utenze,Altre spese di funzionamento
Merci,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Merci,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Merci,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Merci,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Servizi informatici web,Servizi informatici web
Assicurazioni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  171 ,  171 ,  171 ,  171 ,  -   ,  -   ,  171 ,0%,,Assicurazioni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  171 ,  -   ,  -   ,  -   ,- 171 ,  -   ,  -   ,,,,Assicurazioni,  -   ,  -   ,  -   ,  -   ,  -   ,  90 ,  261 ,  261 ,  261 ,  261 ,  261 ,  -   ,  261 ,0%,,Assicurazioni,  -   ,  -   ,  -   ,  -   ,  -   ,  90 ,  171 ,  -   ,  -   ,  -   ,  -   ,- 261 ,  -   ,,,Assicurazioni,Altre spese di funzionamento
Rimanenze,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimanenze,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Rimanenze,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimanenze,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimanenze,Altre spese di funzionamento
Tasse e valori bollati,  10 ,  19 ,  543 ,  552 ,  560 ,  568 ,  577 ,  585 ,  593 ,  610 ,  -   ,  -   ,  610 ,0%,,Tasse e valori bollati,  10 ,  8 ,  525 ,  8 ,  8 ,  8 ,  8 ,  8 ,  8 ,  17 ,- 610 ,  -   ,  17 ,,,,Tasse e valori bollati,  -   ,  -   ,  516 ,  566 ,  597 ,  597 ,  622 ,  630 ,  630 ,  647 ,  655 ,  -   ,  647 ,0%,,Tasse e valori bollati,  -   ,  -   ,  516 ,  50 ,  31 ,  -   ,  25 ,  8 ,  -   ,  17 ,  8 ,- 655 ,  17 ,0%,,Tasse e valori bollati,Altre spese di funzionamento
