,,PROGRESSIVO,,,,,,,,,,SETTEMBRE,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
Mostre e fiere,,8.102 ,,,1.895 ,,,6.207 ,,,,2.212 ,,,0 ,,,2.212 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Mostre e fiere,Costi commerciali
Servizi commerciali,,498 ,,,483 ,,,15 ,,,,55 ,,,55 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi commerciali,Costi commerciali
Carburante,,1.352 ,,,998 ,,,354 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Carburante,Costi commerciali
SPESE COMMERCIALI,,18.177 ,,6%,13.367 ,,31%,4.809 ,,,,2.897 ,,5%,206 ,,n/a,2.691 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Beni indeducibili,,2.182 ,,,3.064 ,,,-881 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Beni indeducibili,Altre spese di funzionamento
Spese generali,,24.766 ,,,4.058 ,,,20.707 ,,,,1.616 ,,,1.257 ,,,359 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese generali,Altre spese di funzionamento
Materiale vario e di consumo,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Materiale vario e di consumo,Altre spese di funzionamento
Spese di pulizia,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese di pulizia,Altre spese di funzionamento
Utenze,,906 ,,,702 ,,,204 ,,,,79 ,,,101 ,,,-22 ,,,,,,,,,,,,,,,Utenze,Altre spese di funzionamento
Assicurazioni,,171 ,,,261 ,,,-90 ,,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Assicurazioni,Altre spese di funzionamento
Rimanenze,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,,,,,,,,,,,,Rimanenze,Altre spese di funzionamento
Tasse e valori bollati,,593 ,,,630 ,,,-37 ,,,,8 ,,,0 ,,,8 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Tasse e valori bollati,Altre spese di funzionamento
Sanzioni e multe,,421 ,,,118 ,,,302 ,,,,50 ,,,0 ,,,50 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Sanzioni e multe,Altre spese di funzionamento
Compensi amministratore,,0 ,,,36.723 ,,,-36.723 ,,,,0 ,,,5.557 ,,,-5.557 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Compensi amministratore,Compensi amministratore
Rimborsi amministratore,,0 ,,,3.188 ,,,-3.188 ,,,,0 ,,,186 ,,,-186 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Rimborsi amministratore,Rimborsi amministratore
Personale,,137.119 ,,,62.969 ,,,74.149 ,,,,0 ,,,7.019 ,,,-7.019 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Personale,Personale
Servizi amministrativi contabilità,,13.603 ,,,12.303 ,,,1.299 ,,,,986 ,,,1.147 ,,,-161 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi contabilità,Servizi contabili e paghe
Servizi amministrativi paghe,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi paghe,Servizi contabili e paghe
Consulenze tecniche,,34.576 ,,,49.865 ,,,-15.289 ,,,,5.426 ,,,0 ,,,5.426 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze tecniche,Consulenze tecniche
Consulenze legali,,1.794 ,,,0 ,,,1.794 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze legali,Consulenze legali
Locazioni e noleggi,,8.089 ,,,4.660 ,,,3.429 ,,,,957 ,,,510 ,,,447 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Locazioni e noleggi,Altre spese di funzionamento
Servizi indeducibili,,1.052 ,,,4.821 ,,,-3.769 ,,,,0 ,,,24 ,,,-24 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi indeducibili,Altre spese di funzionamento
Utili e perdite su cambi,,517 ,,,152 ,,,365 ,,,,3 ,,,13 ,,,-10 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utili e perdite su cambi,Altre spese di funzionamento
Perdite su crediti,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Perdite su crediti,Altre spese di funzionamento
Licenze d'uso,,0 ,,,1.365 ,,,-1.365 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Licenze d'uso,Altre spese di funzionamento
Utenze telefoniche e cellulari,,246 ,,,1.244 ,,,-997 ,,,,21 ,,,21 ,,,-0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utenze telefoniche e cellulari,Altre spese di funzionamento
Altri oneri,,3.455 ,,,1.382 ,,,2.073 ,,,,167 ,,,171 ,,,-4 ,,,,,,,,,,,,,,,Altri oneri,Altre spese di funzionamento
Abbuoni e arrotondamenti,,12 ,,,3 ,,,10 ,,,,0 ,,,1 ,,,-1 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Abbuoni e arrotondamenti,Altre spese di funzionamento
SPESE DI STRUTTURA,,229.501 ,,78%,187.508 ,,430%,41.993 ,,,,9.313 ,,15%,16.007 ,,n/a,-6.695 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE GESTIONE STRUTTURA E NON TIPICA,,247.678 ,,84%,200.876 ,,460%,46.802 ,,,,12.210 ,,-19%,16.213 ,,n/a,-4.003 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBITDA,,27.738 ,,9%,-165.259 ,,-379%,192.997 ,,,,48.916 ,,78%,-17.042 ,,n/a,65.958 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Ammortamenti immateriali,,38.773 ,, ,6.343 ,,,32.430 ,,,,4.253 ,,,695 ,,,3.558 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti immateriali,Ammortamenti e svalutazioni
Ammortamenti materiali,,641 ,,,320 ,,,322 ,,,,70 ,,,35 ,,,35 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti materiali,Ammortamenti e svalutazioni
Svalutazioni e accantonamenti,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Svalutazioni e accantonamenti,Ammortamenti e svalutazioni
"AMMORTAMENTI, ACCANT. SVALUTAZIONI",,39.414 ,,,6.663 ,,,32.752 ,,,,4.323 ,,7%,730 ,,n/a,3.593 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Plusvalenze e minusvalenze straordinarie,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Plusvalenze e minusvalenze straordinarie,Gestione straordinaria
Altri proventi/costi straordinari,,0 ,,,0 ,,,0 ,,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri proventi/costi straordinari,Gestione straordinaria
GESTIONE STRAORDINARIA,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,n/a,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBIT,,-11.676 ,,-4%,-171.922 ,,-394%,160.246 ,,,,44.593 ,,71%,-17.772 ,,n/a,62.364 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Spese e commissioni bancarie,,274 ,,,334 ,,,-60 ,,,,17 ,,,0 ,,,17 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese e commissioni bancarie,Gestione finanziaria
Interessi passivi su mutui,,1.294 ,,,1.526 ,,,-232 ,,,,124 ,,,0 ,,,124 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Interessi passivi su mutui,Gestione finanziaria
Altri interessi,,295 ,,,647 ,,,-351 ,,,,120 ,,,11 ,,,109 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri interessi,Gestione finanziaria
GESTIONE FINANZIARIA,,1.864 ,,1%,2.507 ,,6%,-643 ,,,,261 ,,0%,11 ,,n/a,250 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBT,,-13.540 ,,-5%,-174.429 ,,-400%,160.889 ,,,,44.331 ,,70%,-17.783 ,,n/a,62.114 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Imposte dirette,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,n/a,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,n/a,,,Imposte dirette,Imposte
RISULTATO DELL'ESERCIZIO,,-13.540 ,,-5%,-174.429 ,,-400%,160.889 ,,,,44.331 ,,70%,-17.783 ,,n/a,62.114 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,n/a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,#REF!,,,#ERROR!,,,,,,
