Ditta,Rag. Soc.(attivita'),Tipo_stampa,DataStoDit,DataStoAna,CodAnacf,DataInizio,DataFine,CodiceConto,Descr_conto,ContoChiusura,Saldo_apertura,Progr_dare,Progr_avere,Saldo_preced,Num_riga,Data_registraz,Cod_causale,Descrizione,CodiceControp,Descr_controp,Num_documento,Num_documento_ori,Data_documento,Importo_dare,Importo_avere,Importo_saldo,Attivita_ETS,Codice_UnProd,Descr_UnProD,CodAnacfControp,DescrAgg,DescrAgg2,DescrAgg3
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,03/20/010,MARCHI DI FABBRICA E COMMERCIO,55/05/010,"1.977,00",,,"1.977,00",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,"1.977,00",,"1.977,00",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,04/05/0501,F/AMM SPESE COSTITUZIONE E MODIF,55/05/010,"1.181,16-",,,"1.181,16-",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,,"1.181,16","1.181,16-",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,04/10/0501,F/AMM COSTI SVILUPPO,55/05/010,"54.309,62-",,,"54.309,62-",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,,"54.309,62","54.309,62-",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,04/15/005,F/AMM DIRITTI DI BREVETTO,55/05/010,"8.139,00-",,,"8.139,00-",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,,"8.139,00","8.139,00-",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,04/20/005,F/AMM CONC.LIC. E ALTRI DIR.SIM.,55/05/010,"4.200,00-",,,"4.200,00-",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,,"4.200,00","4.200,00-",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,04/20/010,F/AMM MARCHI DI FABBRICA E COMM.,55/05/010,"329,76-",,,"329,76-",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,,"329,76","329,76-",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,10/02/2025,0,01/01/2025,31/08/2025,06/15/005,ATTREZZAT. IND.LI E COMM.LI,55/05/010,,,,0,1,28/02/2025,19,FATT.ACQ. INTRA BENI,40/00115,PHOTONEO S.R.O.,4/95,252502012,10/02/2025,"5.375,00",,"5.375,00",,0,,515369,BENI,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,06/20/010,MACCHINE ELETTROMEC. D'UFFICIO,55/05/010,"2.134,41",,,"2.134,41",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,"2.134,41",,"2.134,41",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,12/05/2025,0,01/01/2025,31/08/2025,06/20/010,MACCHINE ELETTROMEC. D'UFFICIO,55/05/010,"2.134,41","2.134,41",,"2.134,41",2,31/05/2025,19,FATT.ACQ. INTRA BENI,40/00144,CELLSHARK2BV,15/95,51590048,12/05/2025,351,,"2.485,41",,0,,520774,BENI,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,07/20/010,F/AMM MACCH. ELETTROM. D'UFF.,55/05/010,"832,78-",,,"832,78-",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,,"832,78","832,78-",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,0,01/01/2025,31/08/2025,09/10/1930,DEPOSITI CAUZIONALI SU CONTRATTI,55/05/010,"1.530,00",,,"1.530,00",1,01/01/2025,25,SALDO APERTURA  AL 01/01/25,55/05/005,BILANCIO DI APERTURA,,,,"1.530,00",,"1.530,00",,0,,0,AL 01/01/25,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,15/07/2025,416314,01/01/2025,31/08/2025,14/00009,terremerse soc. coop,,,,,0,1,15/07/2025,1,FATT. VENDITA,,,12/00,12,15/07/2025,"35.000,01",,"35.000,01",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,15/07/2025,416314,01/01/2025,31/08/2025,14/00009,terremerse soc. coop,,,"35.000,01",,"35.000,01",2,31/07/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,12/00,12,15/07/2025,,"35.000,01",0,,0,,416314,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,13/01/2025,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,,,0,1,13/01/2025,1,FATT. VENDITA,,,1/00,1,13/01/2025,"46.000,00",,"46.000,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,13/01/2025,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,"46.000,00",,"46.000,00",2,14/01/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,1/00,1,13/01/2025,,"46.000,00",0,,0,,481561,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,17/02/2025,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,"46.000,00","46.000,00",0,3,17/02/2025,1,FATT. VENDITA,,,3/00,3,17/02/2025,"25.500,00",,"25.500,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,17/02/2025,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,"71.500,00","46.000,00","25.500,00",4,21/02/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,3/00,3,17/02/2025,,"25.500,00",0,,0,,481561,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,29/04/2025,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,"71.500,00","71.500,00",0,5,29/04/2025,1,FATT. VENDITA,,,5/00,5,29/04/2025,"4.000,00",,"4.000,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,29/04/2025,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,"75.500,00","71.500,00","4.000,00",6,29/04/2025,1,FATT. VENDITA,,,6/00,6,29/04/2025,"26.230,00",,"30.230,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,"101.730,00","71.500,00","30.230,00",7,06/05/2025,102,INCASS. FATTURA 6,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,,,,,"15.115,00","15.115,00",,0,,481561,6,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,"101.730,00","86.615,00","15.115,00",8,27/06/2025,102,INCASS. FATTURA SALDO FT.6,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,,,,,"15.115,00",0,,0,,481561,SALDO FT.6,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,23/07/2025,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,"101.730,00","101.730,00",0,9,23/07/2025,1,FATT. VENDITA,,,13/00,13,23/07/2025,"2.500,00",,"2.500,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,23/07/2025,481561,01/01/2025,31/08/2025,14/00015,UNITEC S.P.A.,,,"104.230,00","101.730,00","2.500,00",10,31/07/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,13/00,13,23/07/2025,,"2.500,00",0,,0,,481561,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,14/01/2025,510273,01/01/2025,31/08/2025,14/00037,Re Roberto S.p.A.,,,,,0,1,14/01/2025,1,FATT. VENDITA,,,2/00,2,14/01/2025,"12.932,00",,"12.932,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,14/01/2025,510273,01/01/2025,31/08/2025,14/00037,Re Roberto S.p.A.,,,"12.932,00",,"12.932,00",2,14/01/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,2/00,2,14/01/2025,,"12.932,00",0,,0,,510273,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,23/05/2025,510273,01/01/2025,31/08/2025,14/00037,Re Roberto S.p.A.,,,"12.932,00","12.932,00",0,3,23/05/2025,1,FATT. VENDITA,,,8/00,8,23/05/2025,"12.932,00",,"12.932,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,23/05/2025,510273,01/01/2025,31/08/2025,14/00037,Re Roberto S.p.A.,,,"25.864,00","12.932,00","12.932,00",4,29/05/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,8/00,8,23/05/2025,,"12.932,00",0,,0,,510273,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,17/03/2025,515521,01/01/2025,31/08/2025,14/00042,Topcon Agriculture S.r.l.,,,,,0,1,17/03/2025,1,FATT. VENDITA,,,4/00,4,17/03/2025,"30.500,00",,"30.500,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,17/03/2025,515521,01/01/2025,31/08/2025,14/00042,Topcon Agriculture S.r.l.,,,"30.500,00",,"30.500,00",2,19/03/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,4/00,4,17/03/2025,,"30.500,00",0,,0,,515521,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,27/06/2025,515521,01/01/2025,31/08/2025,14/00042,Topcon Agriculture S.r.l.,,,"30.500,00","30.500,00",0,3,27/06/2025,1,FATT. VENDITA,,,9/00,9,27/06/2025,"30.500,00",,"30.500,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,27/06/2025,515521,01/01/2025,31/08/2025,14/00042,Topcon Agriculture S.r.l.,,,"61.000,00","30.500,00","30.500,00",4,07/07/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,9/00,9,27/06/2025,,"30.500,00",0,,0,,515521,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,14/05/2025,519913,01/01/2025,31/08/2025,14/00043,SYSTEM CERAMICS Divisione Electronics,,,,,0,1,14/05/2025,1,FATT. VENDITA,,,7/00,7,14/05/2025,"9.760,00",,"9.760,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,14/05/2025,519913,01/01/2025,31/08/2025,14/00043,SYSTEM CERAMICS Divisione Electronics,,,"9.760,00",,"9.760,00",2,13/06/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,7/00,7,14/05/2025,,"9.760,00",0,,0,,519913,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,02/07/2025,524022,01/01/2025,31/08/2025,14/00056,ALCA Technologies S.r.l.,,,,,0,1,02/07/2025,1,FATT. VENDITA,,,10/00,10,02/07/2025,"9.150,00",,"9.150,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,02/07/2025,524022,01/01/2025,31/08/2025,14/00056,ALCA Technologies S.r.l.,,,"9.150,00",,"9.150,00",2,22/07/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,10/00,10,02/07/2025,,"9.150,00",0,,0,,524022,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,26/08/2025,524022,01/01/2025,31/08/2025,14/00056,ALCA Technologies S.r.l.,,,"9.150,00","9.150,00",0,3,26/08/2025,1,FATT. VENDITA,,,14/00,14,26/08/2025,"1.349,60",,"1.349,60",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,15/07/2025,524776,01/01/2025,31/08/2025,14/00058,Primeconcept Srl,,,,,0,1,15/07/2025,1,FATT. VENDITA,,,11/00,11,15/07/2025,"5.978,00",,"5.978,00",,0,,,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,15/07/2025,524776,01/01/2025,31/08/2025,14/00058,Primeconcept Srl,,,"5.978,00",,"5.978,00",2,16/07/2025,27,S/DO FATTURA,24/05/2001,BCC RAVENNATE FORLIVESE E IMOLES,11/00,11,15/07/2025,,"5.978,00",0,,0,,524776,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,31/12/2024,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,,,0,1,01/01/2025,11,FATT. ACQUISTO,40/00077,Marc Consulting s.a.s. di Renzi Matilde,1/00,247,31/12/2024,220,,220,,0,,503976,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,02/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,220,,220,2,02/01/2025,11,FATT. ACQUISTO,40/00001,LIVERANI  e  C.  s.r.l.,2/00,1,02/01/2025,"112,2",,"332,2",,0,,483677,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,31/12/2024,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"332,2",,"332,2",3,03/01/2025,11,FATT. ACQUISTO,40/00003,GOOGLE CLOUD ITALY S.R.L.,3/00,GCITD0004240403,31/12/2024,"258,86",,"591,06",,0,,417230,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,07/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"591,06",,"591,06",4,08/01/2025,11,FATT. ACQUISTO,40/00005,HERA COMM S.p.A.,4/00,"4,13E+11",07/01/2025,"30,45",,"621,51",,0,,380039,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,31/12/2024,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"621,51",,"621,51",5,09/01/2025,11,FATT. ACQUISTO,40/00009,Dinova Srl,5/00,246407,31/12/2024,"76,87",,"698,38",,0,,483681,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,08/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"698,38",,"698,38",6,11/01/2025,11,FATT. ACQUISTO,40/00011,CAMST SOC.COOP A.R.L.,6/00,FC1358/17,08/01/2025,"2,26",,"700,64",,0,,48133,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,13/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"700,64",,"700,64",7,13/01/2025,11,FATT. ACQUISTO,40/00025,Imment Srl,7/00,9,13/01/2025,"179,96",,"880,6",,0,,455797,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,13/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"880,6",,"880,6",8,17/01/2025,11,FATT. ACQUISTO,40/00012,TIM  S.p.A.,9/00,8H00045033,13/01/2025,"7,57",,"888,17",,0,,39391,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,18/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"888,17",,"888,17",9,18/01/2025,11,FATT. ACQUISTO,40/00008,WEERG SRL,10/00,2025-1496,18/01/2025,"23,85",,"912,02",,0,,364922,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,20/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"912,02",,"912,02",10,20/01/2025,11,FATT. ACQUISTO,40/00104,TME ITALIA SRL,11/00,6257501367,20/01/2025,"23,58",,"935,6",,0,,218790,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,31/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"935,6",,"935,6",11,31/01/2025,11,FATT. ACQUISTO,40/00025,Imment Srl,13/00,26,31/01/2025,"24,64",,"960,24",,0,,455797,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,13/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"960,24",,"960,24",12,31/01/2025,19,FATT.ACQ. INTRA SERVIZI,40/00105,NURNBERGMESSE GMBH,1/95,20838440,13/01/2025,"635,8",,"1.596,04",,0,,512554,SERVIZI,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,20/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"1.596,04",,"1.596,04",13,31/01/2025,46,F.A.RC EXTRACEE,40/00050,PEREZ GUEREN VICTOR ALEJANDRO,1/96,33,20/01/2025,"505,12",,"2.101,16",,0,,484441,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,22/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.101,16",,"2.101,16",14,31/01/2025,46,F.A.RC EXTRACEE,40/00106,CIRCLEBACK,2/96,E31F5969-0010,22/01/2025,"5,27",,"2.106,43",,0,,512659,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,22/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.106,43",,"2.106,43",15,31/01/2025,46,F.A.RC EXTRACEE,40/00090,"OPENAI, LLC",3/96,A3E4568F-0033,22/01/2025,"4,21",,"2.110,64",,0,,505750,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,02/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.110,64",,"2.110,64",16,31/01/2025,19,FATT.ACQ. INTRA SERVIZI,40/00069,SAS SENDINBLUE,2/95,SIB-2504874,02/01/2025,"12,1",,"2.122,74",,0,,499203,SERVIZI,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,17/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.122,74",,"2.122,74",17,31/01/2025,11,FATT. ACQUISTO,40/00107,A&T S.R.L.,14/00,2025/V1/41,17/01/2025,660,,"2.782,74",,0,,514216,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,17/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.782,74",,"2.782,74",18,31/01/2025,11,FATT. ACQUISTO,40/00093,SICILY BY CAR SPA,15/00,R1_25633,17/01/2025,"10,68",,"2.793,42",,0,,62388,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,27/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.793,42",,"2.793,42",19,31/01/2025,11,FATT. ACQUISTO,40/00004,RS COMPONENTS S.R.L.,17/00,7025038390,27/01/2025,"9,06",,"2.802,48",,0,,66599,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,27/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.802,48",,"2.802,48",20,31/01/2025,11,FATT. ACQUISTO,40/00011,CAMST SOC.COOP A.R.L.,18/00,FC1358/123,27/01/2025,"2,18",,"2.804,66",,0,,48133,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,29/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.804,66",,"2.804,66",21,31/01/2025,46,F.A.RC EXTRACEE BENI,40/00110,"GUANGZHOU EAST VILLAGE TECHNOLOGY CO.,",1/97,IT500000SMOO23I,29/01/2025,"10,06",,"2.814,72",,0,,514262,BENI,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,13/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.814,72",,"2.814,72",22,31/01/2025,46,F.A.RC EXTRACEE,40/00114,FIVERR INTERNATIONAL LTD.,4/96,FI17568518321,13/01/2025,"57,26",,"2.871,98",,0,,515328,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,20/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.871,98",,"2.871,98",23,31/01/2025,46,F.A.RC EXTRACEE,40/00114,FIVERR INTERNATIONAL LTD.,5/96,FI62568804684,20/01/2025,"9,19",,"2.881,17",,0,,515328,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,23/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.881,17",,"2.881,17",24,31/01/2025,46,F.A.RC EXTRACEE,40/00127,HACKERSPACE KARACHI,6/96,230125-3,23/01/2025,"105,73",,"2.986,90",,0,,520377,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,21/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.986,90",,"2.986,90",25,31/01/2025,46,F.A.RC EXTRACEE,40/00106,CIRCLEBACK,8/96,0F68C495-0010,21/01/2025,"5,31",,"2.992,21",,0,,512659,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,30/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"2.992,21",,"2.992,21",26,31/01/2025,46,F.A.RC EXTRACEE,40/00143,"NOTION LABS,INC.",7/96,IYJXALVPFHVFYDT,30/01/2025,"12,65",,"3.004,86",,0,,520762,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,31/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"3.004,86",,"3.004,86",27,02/02/2025,11,FATT. ACQUISTO,40/00003,GOOGLE CLOUD ITALY S.R.L.,19/00,GCITD0004392395,31/01/2025,"253,79",,"3.258,65",,0,,417230,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,29/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"3.258,65",,"3.258,65",28,03/02/2025,11,FATT. ACQUISTO,40/00009,Dinova Srl,22/00,250344,29/01/2025,"37,95",,"3.296,60",,0,,483681,,,
3101,AWENTIA S.R.L.,PARTITARIO,31/08/2025,28/01/2025,24776,01/01/2025,31/08/2025,18/20/005,IVA SU ACQUISTI,55/05/010,,"3.296,60",,"3.296,60",29,03/02/2025,11,FATT. ACQUISTO,40/00093,SICILY BY CAR SPA,23/00,R1_41558,28/01/2025,"9,78",,"3.306,38",,0,,62388,,,
