8,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
---,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Beni strumentali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Beni strumentali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Beni strumentali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,---,---
---,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese per manutenzione,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Spese per manutenzione,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese per manutenzione,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,---,---
Altri servizi e prestazioni,  -   ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.750 ,  1.750 ,  -   ,  -   ,  -   ,  -   ,  1.750 ,1%,,Altri servizi e prestazioni,  -   ,  1.250 ,  -   ,  -   ,  -   ,  -   ,  500 ,  -   ,- 1.750 ,  -   ,  -   ,  -   ,  -   ,,,,Altri servizi e prestazioni,  -   ,  -   ,  -   ,  5.000 ,  5.250 ,  5.500 ,  5.500 ,  5.500 ,  -   ,  -   ,  -   ,  -   ,  5.500 ,2%,,Altri servizi e prestazioni,  -   ,  -   ,  -   ,  5.000 ,  250 ,  250 ,  -   ,  -   ,- 5.500 ,  -   ,  -   ,  -   ,  -   ,0%,,Altri servizi e prestazioni,Altri servizi e prestazioni
COSTI INDIRETTI,  -   ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.250 ,  1.750 ,  1.750 ,  -   ,  -   ,  -   ,  -   ,  1.750 ,1%,,COSTI INDIRETTI,  -   ,  1.250 ,  -   ,  -   ,  -   ,  -   ,  500 ,  -   ,- 1.750 ,  -   ,  -   ,  -   ,  -   ,0%,,,COSTI INDIRETTI,  -   ,  -   ,  -   ,  5.000 ,  5.250 ,  5.500 ,  5.500 ,  5.500 ,  -   ,  -   ,  -   ,  -   ,  5.500 ,2%,,COSTI INDIRETTI,  -   ,  -   ,  -   ,  5.000 ,  250 ,  250 ,  -   ,  -   ,- 5.500 ,  -   ,  -   ,  -   ,  -   ,0%,,,
TOTALE COSTI DIRETTI E INDIRETTI,  636 ,  6.611 ,  8.071 ,  9.957 ,  11.069 ,  12.245 ,  14.324 ,  16.845 ,  -   ,  -   ,  -   ,  -   ,  16.845 ,7%,,TOTALE COSTI DIRETTI E INDIRETTI,  636 ,  5.975 ,  1.461 ,  1.886 ,  1.112 ,  1.176 ,  2.080 ,  2.521 ,- 16.845 ,  -   ,  -   ,  -   ,  2.521 ,228%,,,TOTALE COSTI DIRETTI E INDIRETTI,  254 ,  261 ,  287 ,  5.294 ,  5.551 ,  6.440 ,  6.962 ,  7.210 ,  -   ,  -   ,  -   ,  -   ,  7.210 ,3%,,TOTALE COSTI DIRETTI E INDIRETTI,  254 ,  7 ,  26 ,  5.007 ,  257 ,  889 ,  522 ,  248 ,- 7.210 ,  -   ,  -   ,  -   ,  248 ,22%,,,
GROSS PROFIT,  55.964 ,  75.490 ,  109.269 ,  132.883 ,  150.372 ,  174.196 ,  215.705 ,  214.290 ,  -   ,  -   ,  -   ,  -   ,  214.290 ,93%,,GROSS PROFIT,  55.964 ,  19.525 ,  33.779 ,  23.614 ,  17.489 ,  23.824 ,  41.509 ,- 1.415 ,- 214.290 ,  -   ,  -   ,  -   ,- 1.415 ,-128%,,,GROSS PROFIT,- 253 ,- 260 ,- 287 ,- 5.067 ,- 3.548 ,  25.635 ,  25.112 ,  36.446 ,  -   ,  -   ,  -   ,  -   ,  36.446 ,16%,,GROSS PROFIT,- 253 ,- 7 ,- 26 ,- 4.781 ,  1.520 ,  29.183 ,- 522 ,  11.333 ,- 36.446 ,  -   ,  -   ,  -   ,  11.333 ,1025%,,,
Autofatture,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Autofatture,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Autofatture,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Autofatture,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Autofatture,Ricavi non tipici
Rimborsi spese,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimborsi spese,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Rimborsi spese,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimborsi spese,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimborsi spese,Ricavi non tipici
Altri proventi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Altri proventi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Altri proventi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Altri proventi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Altri proventi,Ricavi non tipici
ALTRI RICAVI NON TIPICI,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,ALTRI RICAVI NON TIPICI,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,,ALTRI RICAVI NON TIPICI,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,ALTRI RICAVI NON TIPICI,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,,
Spese viaggio,  372 ,  1.468 ,  1.908 ,  2.250 ,  2.795 ,  2.813 ,  2.987 ,  3.031 ,  -   ,  -   ,  -   ,  -   ,  3.031 ,1%,,Spese viaggio,  372 ,  1.095 ,  441 ,  341 ,  546 ,  18 ,  173 ,  45 ,- 3.031 ,  -   ,  -   ,  -   ,  45 ,,,,Spese viaggio,  297 ,  399 ,  874 ,  5.716 ,  6.513 ,  6.719 ,  6.968 ,  7.007 ,  -   ,  -   ,  -   ,  -   ,  7.007 ,3%,,Spese viaggio,  297 ,  102 ,  476 ,  4.842 ,  797 ,  206 ,  249 ,  39 ,- 7.007 ,  -   ,  -   ,  -   ,  39 ,3%,,Spese viaggio,Costi commerciali
Pedaggi autostradali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Pedaggi autostradali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Pedaggi autostradali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Pedaggi autostradali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Pedaggi autostradali,Costi commerciali
Pubblicità,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Pubblicità,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Pubblicità,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Pubblicità,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Pubblicità,Costi commerciali
Materiale pubblicitario,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale pubblicitario,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Materiale pubblicitario,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale pubblicitario,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale pubblicitario,Costi commerciali
Omaggi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Omaggi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Omaggi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Omaggi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Omaggi,Costi commerciali
Spese di rappresentanza,  336 ,  1.113 ,  2.538 ,  2.982 ,  3.766 ,  4.081 ,  4.402 ,  4.562 ,  -   ,  -   ,  -   ,  -   ,  4.562 ,2%,,Spese di rappresentanza,  336 ,  777 ,  1.425 ,  444 ,  784 ,  314 ,  322 ,  160 ,- 4.562 ,  -   ,  -   ,  -   ,  160 ,,,,Spese di rappresentanza,  389 ,  438 ,  677 ,  2.590 ,  2.637 ,  2.799 ,  2.834 ,  2.834 ,  -   ,  -   ,  -   ,  -   ,  2.834 ,1%,,Spese di rappresentanza,  389 ,  49 ,  239 ,  1.913 ,  47 ,  163 ,  35 ,  -   ,- 2.834 ,  -   ,  -   ,  -   ,  -   ,0%,,Spese di rappresentanza,Costi commerciali
Mostre e fiere,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  5.890 ,  -   ,  -   ,  -   ,  -   ,  5.890 ,3%,,Mostre e fiere,  5.890 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,- 5.890 ,  -   ,  -   ,  -   ,  -   ,,,,Mostre e fiere,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.895 ,  1.895 ,  -   ,  -   ,  -   ,  -   ,  1.895 ,1%,,Mostre e fiere,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.895 ,  -   ,- 1.895 ,  -   ,  -   ,  -   ,  -   ,0%,,Mostre e fiere,Costi commerciali
Servizi commerciali,  58 ,  113 ,  168 ,  223 ,  278 ,  333 ,  388 ,  443 ,  -   ,  -   ,  -   ,  -   ,  443 ,0%,,Servizi commerciali,  58 ,  55 ,  55 ,  55 ,  55 ,  55 ,  55 ,  55 ,- 443 ,  -   ,  -   ,  -   ,  55 ,,,,Servizi commerciali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  379 ,  428 ,  -   ,  -   ,  -   ,  -   ,  428 ,0%,,Servizi commerciali,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  379 ,  49 ,- 428 ,  -   ,  -   ,  -   ,  49 ,4%,,Servizi commerciali,Costi commerciali
Carburante,  120 ,  292 ,  662 ,  802 ,  1.028 ,  1.028 ,  1.303 ,  1.352 ,  -   ,  -   ,  -   ,  -   ,  1.352 ,1%,,Carburante,  120 ,  171 ,  371 ,  140 ,  226 ,  -   ,  275 ,  49 ,- 1.352 ,  -   ,  -   ,  -   ,  49 ,,,,Carburante,  -   ,  -   ,  -   ,  579 ,  961 ,  981 ,  998 ,  998 ,  -   ,  -   ,  -   ,  -   ,  998 ,0%,,Carburante,  -   ,  -   ,  -   ,  579 ,  382 ,  20 ,  18 ,  -   ,- 998 ,  -   ,  -   ,  -   ,  -   ,0%,,Carburante,Costi commerciali
SPESE COMMERCIALI,  6.777 ,  8.876 ,  11.167 ,  12.148 ,  13.758 ,  14.146 ,  14.971 ,  15.279 ,  -   ,  -   ,  -   ,  -   ,  15.279 ,7%,,SPESE COMMERCIALI,  6.777 ,  2.099 ,  2.292 ,  980 ,  1.611 ,  387 ,  825 ,  309 ,- 15.279 ,  -   ,  -   ,  -   ,  309 ,28%,,,SPESE COMMERCIALI,  686 ,  837 ,  1.551 ,  8.885 ,  10.111 ,  10.499 ,  13.074 ,  13.162 ,  -   ,  -   ,  -   ,  -   ,  13.162 ,6%,,SPESE COMMERCIALI,  686 ,  151 ,  714 ,  7.334 ,  1.225 ,  388 ,  2.575 ,  88 ,- 13.162 ,  -   ,  -   ,  -   ,  88 ,8%,,,
Beni indeducibili,  113 ,  877 ,  1.854 ,  2.123 ,  2.236 ,  2.236 ,  2.182 ,  2.182 ,  -   ,  -   ,  -   ,  -   ,  2.182 ,1%,,Beni indeducibili,  113 ,  763 ,  977 ,  269 ,  113 ,  -   ,- 54 ,  -   ,- 2.182 ,  -   ,  -   ,  -   ,  -   ,,,,Beni indeducibili,  -   ,  -   ,  -   ,  2.731 ,  2.755 ,  2.755 ,  2.891 ,  3.064 ,  -   ,  -   ,  -   ,  -   ,  3.064 ,1%,,Beni indeducibili,  -   ,  -   ,  -   ,  2.731 ,  24 ,  -   ,  136 ,  173 ,- 3.064 ,  -   ,  -   ,  -   ,  173 ,16%,,Beni indeducibili,Altre spese di funzionamento
Spese generali,  194 ,  20.406 ,  20.888 ,  21.862 ,  22.205 ,  22.311 ,  22.311 ,  23.150 ,  -   ,  -   ,  -   ,  -   ,  23.150 ,10%,,Spese generali,  194 ,  20.212 ,  482 ,  974 ,  343 ,  106 ,  -   ,  839 ,- 23.150 ,  -   ,  -   ,  -   ,  839 ,,,,Indumenti di lavoro,  1.908 ,  2.042 ,  2.277 ,  2.277 ,  2.366 ,  2.388 ,  2.622 ,  2.801 ,  -   ,  -   ,  -   ,  -   ,  2.801 ,1%,,Indumenti di lavoro,  1.908 ,  134 ,  235 ,  -   ,  89 ,  22 ,  234 ,  179 ,- 2.801 ,  -   ,  -   ,  -   ,  179 ,16%,,Spese generali,Altre spese di funzionamento
Materiale vario e di consumo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale vario e di consumo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Materiale vario e di consumo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale vario e di consumo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Materiale vario e di consumo,Altre spese di funzionamento
Spese di pulizia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese di pulizia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Spese di pulizia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese di pulizia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese di pulizia,Altre spese di funzionamento
Utenze,  -   ,  146 ,  262 ,  344 ,  438 ,  545 ,  707 ,  826 ,  -   ,  -   ,  -   ,  -   ,  826 ,0%,,Utenze,  -   ,  146 ,  115 ,  83 ,  94 ,  107 ,  162 ,  119 ,- 826 ,  -   ,  -   ,  -   ,  119 ,,,,Utenze,  -   ,  128 ,  210 ,  382 ,  437 ,  392 ,  476 ,  600 ,  -   ,  -   ,  -   ,  -   ,  600 ,0%,,Utenze,  -   ,  128 ,  82 ,  172 ,  55 ,- 45 ,  84 ,  124 ,- 600 ,  -   ,  -   ,  -   ,  124 ,11%,,Utenze,Altre spese di funzionamento
Merci,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Merci,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Merci,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Merci,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Servizi informatici web,Servizi informatici web
Assicurazioni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  171 ,  171 ,  -   ,  -   ,  -   ,  -   ,  171 ,0%,,Assicurazioni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  171 ,  -   ,- 171 ,  -   ,  -   ,  -   ,  -   ,,,,Assicurazioni,  -   ,  -   ,  -   ,  -   ,  -   ,  90 ,  261 ,  261 ,  -   ,  -   ,  -   ,  -   ,  261 ,0%,,Assicurazioni,  -   ,  -   ,  -   ,  -   ,  -   ,  90 ,  171 ,  -   ,- 261 ,  -   ,  -   ,  -   ,  -   ,,,Assicurazioni,Altre spese di funzionamento
Rimanenze,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimanenze,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Rimanenze,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimanenze,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Rimanenze,Altre spese di funzionamento
Tasse e valori bollati,  10 ,  19 ,  543 ,  552 ,  560 ,  568 ,  577 ,  585 ,  -   ,  -   ,  -   ,  -   ,  585 ,0%,,Tasse e valori bollati,  10 ,  8 ,  525 ,  8 ,  8 ,  8 ,  8 ,  8 ,- 585 ,  -   ,  -   ,  -   ,  8 ,,,,Tasse e valori bollati,  -   ,  -   ,  516 ,  566 ,  597 ,  597 ,  622 ,  630 ,  -   ,  -   ,  -   ,  -   ,  630 ,0%,,Tasse e valori bollati,  -   ,  -   ,  516 ,  50 ,  31 ,  -   ,  25 ,  8 ,- 630 ,  -   ,  -   ,  -   ,  8 ,1%,,Tasse e valori bollati,Altre spese di funzionamento
Sanzioni e multe,  -   ,  -   ,  20 ,  78 ,  78 ,  109 ,  143 ,  371 ,  -   ,  -   ,  -   ,  -   ,  371 ,0%,,Sanzioni e multe,  -   ,  -   ,  20 ,  58 ,  -   ,  31 ,  34 ,  227 ,- 371 ,  -   ,  -   ,  -   ,  227 ,,,,Sanzioni e multe,  -   ,  -   ,  -   ,  -   ,  -   ,  23 ,  23 ,  118 ,  -   ,  -   ,  -   ,  -   ,  118 ,0%,,Sanzioni e multe,  -   ,  -   ,  -   ,  -   ,  -   ,  23 ,  -   ,  96 ,- 118 ,  -   ,  -   ,  -   ,  96 ,9%,,Sanzioni e multe,Altre spese di funzionamento
