8,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Altre spese di funzionamento,,3.473 ,26.195 ,30.758 ,33.332 ,35.094 ,36.195 ,37.565 ,39.509 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Altre spese di funzionamento,,  3.473 ,  22.722 ,  4.563 ,  2.574 ,  1.762 ,  1.101 ,  1.370 ,  1.944 ,- 39.509 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
TOTALE STRUTTURA,,  9.993 ,  53.639 ,  126.361 ,  147.988 ,  169.520 ,  196.829 ,  215.767 ,  235.468 ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,TOTALE STRUTTURA,,  9.993 ,  43.646 ,  72.722 ,  21.627 ,  21.531 ,  27.309 ,  18.938 ,  19.701 ,- 235.468 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
EBITDA,,45.971 ,21.850 ,-17.092 ,-15.105 ,-19.148 ,-22.632 ,-61 ,-21.178 ,0 ,0 ,0 ,0 ,0 ,#DIV/0!,,EBITDA,,45.971 ,-24.121 ,-38.943 ,1.987 ,-4.042 ,-3.485 ,22.571 ,-21.116 ,21.178 ,0 ,0 ,0 ,0 ,#DIV/0!
Ammortamenti e svalutazioni,,4.382 ,8.440 ,12.988 ,17.310 ,21.803 ,26.127 ,30.609 ,35.091 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Ammortamenti e svalutazioni,,  4.382 ,  4.058 ,  4.548 ,  4.321 ,  4.494 ,  4.323 ,  4.482 ,  4.482 ,- 35.091 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Gestione straordinaria,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Gestione straordinaria,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
Gestione finanziaria,,150 ,357 ,537 ,806 ,963 ,1.158 ,1.415 ,1.603 ,0 ,0 ,0 ,0 ,  -   ,#DIV/0!,,Gestione finanziaria,,  150 ,  207 ,  180 ,  269 ,  158 ,  195 ,  257 ,  188 ,- 1.603 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
TOTALE ALTRE VOCI NON TIPICHE,,  4.532 ,  8.797 ,  13.526 ,  18.115 ,  22.767 ,  27.285 ,  32.023 ,  36.694 ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,TOTALE ALTRE VOCI NON TIPICHE,,  4.532 ,  4.265 ,  4.729 ,  4.590 ,  4.651 ,  4.518 ,  4.739 ,  4.670 ,- 36.694 ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
RISULTATO ANTE IMPOSTE,,41.439 ,13.054 ,-30.618 ,-33.220 ,-41.914 ,-49.917 ,-32.085 ,-57.871 ,0 ,0 ,0 ,0 ,0 ,#DIV/0!,,RISULTATO ANTE IMPOSTE,,41.439 ,-28.386 ,-43.671 ,-2.603 ,-8.694 ,-8.003 ,17.832 ,-25.787 ,57.871 ,0 ,0 ,0 ,0 ,#DIV/0!
Imposte ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!,,Imposte ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,#DIV/0!
RISULTATO DELL'ESERCIZIO,,41.439 ,13.054 ,-30.618 ,-33.220 ,-41.914 ,-49.917 ,-32.085 ,-57.871 ,0 ,0 ,0 ,0 ,0 ,#DIV/0!,,RISULTATO DELL'ESERCIZIO,,41.439 ,-28.386 ,-43.671 ,-2.603 ,-8.694 ,-8.003 ,17.832 ,-25.787 ,57.871 ,0 ,0 ,0 ,0 ,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHK,,41.439 ,13.054 ,-30.618 ,-33.220 ,-41.914 ,-49.917 ,-32.085 ,-57.871 ,0 ,0 ,0 ,0 ,,,,CHK,,41.439 ,-28.386 ,-43.671 ,-2.603 ,-8.694 ,-8.003 ,17.832 ,-25.787 ,57.871 ,0 ,0 ,0 ,,
,,0,0,(0),0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammortamenti e svalutazioni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
